Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1280,"1280.35624","Staphylococcus aureus strain 99634_21","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.984, F1 score:0.984, AUC:0.980","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.23134","Klebsiella pneumoniae strain PN100","tetracycline","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.795, F1 score:0.794, AUC:0.842","Computational Method",,
573,"573.40391","Klebsiella pneumoniae strain MRSN539414","aztreonam","Intermediate","==16","==","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1280,"1280.31292","Staphylococcus aureus strain 27198_155F12","penicillin","Susceptible",,,,,"Computational Prediction","Accuracy:0.963, F1 score:0.964, AUC:0.979","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40409","Klebsiella pneumoniae strain MRSN380979","aztreonam","Susceptible",,,,,"Computational Prediction","Accuracy:0.680, F1 score:0.752, AUC:0.735","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40368","Klebsiella pneumoniae strain MRSN728987","piperacillin_tazobactam","Resistant",,,,,"Computational Prediction","Accuracy:0.766, F1 score:0.759, AUC:0.825","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2106","Shigella sonnei strain 183730","ceftazidime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.39791","Klebsiella pneumoniae strain CVUAS 11316.2","cefoxitin","Susceptible",,,,,"Computational Prediction","Accuracy:0.805, F1 score:0.796, AUC:0.864","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.1923","Shigella sonnei strain 181088","streptomycin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1280,"1280.31215","Staphylococcus aureus strain 27191_155F222","penicillin","Susceptible",,,,,"Computational Prediction","Accuracy:0.963, F1 score:0.964, AUC:0.979","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2150","Shigella sonnei strain 195634","cefpirome","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1929","Shigella sonnei strain 209721","chloramphenicol","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1876","Shigella sonnei strain 182836","streptomycin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.27343","Klebsiella pneumoniae strain KZN_INI_KINF_28","meropenem","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.916, F1 score:0.922, AUC:0.949","Computational Method",,
573,"573.40332","Klebsiella pneumoniae strain P30-74","ciprofloxacin","Resistant",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40412","Klebsiella pneumoniae strain MRSN368320","levofloxacin","Resistant",">=8",">=","8","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40382","Klebsiella pneumoniae strain MRSN583141","levofloxacin","Susceptible","==1","==","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.1928","Shigella sonnei strain 184401","ertapenem","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40396","Klebsiella pneumoniae strain MRSN515247","nitrofurantoin","Resistant","==256","==","256","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2206","Shigella sonnei strain 161046","ampicillin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1915","Shigella sonnei strain 158934","azithromycin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40395","Klebsiella pneumoniae strain MRSN515432","ciprofloxacin","Resistant",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40389","Klebsiella pneumoniae strain MRSN546733","gentamicin","Resistant",">=16",">=","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40419","Klebsiella pneumoniae strain MRSN28880","nalidixic acid","Susceptible","==4","==","4","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40421","Klebsiella pneumoniae strain MRSN27989","piperacillin_tazobactam","Susceptible",,,,,"Computational Prediction","Accuracy:0.766, F1 score:0.759, AUC:0.825","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40420","Klebsiella pneumoniae strain MRSN27778","ampicillin-sulbactam","Resistant",">=32/16",">=","32/16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
590,"590.13409","Salmonella enterica SRR2407740","cefoxitin",,"2",,"2","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
624,"624.1880","Shigella sonnei strain 185474","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2109","Shigella sonnei strain 189257","ertapenem","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40364","Klebsiella pneumoniae strain MRSN731029","aztreonam","Resistant","<=1","<=","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.23122","Klebsiella pneumoniae strain PN81","tetracycline","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.795, F1 score:0.794, AUC:0.842","Computational Method",,
573,"573.40374","Klebsiella pneumoniae strain MRSN669510","tigecycline","Susceptible","<=5","<=","5","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40397","Klebsiella pneumoniae strain MRSN513382","cefoxitin","Susceptible",,,,,"Computational Prediction","Accuracy:0.805, F1 score:0.796, AUC:0.864","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40416","Klebsiella pneumoniae strain MRSN366562","meropenem","Resistant",">=16",">=","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1280,"1280.31229","Staphylococcus aureus strain 27/4-5 BHC","penicillin","Resistant",,,,,"Computational Prediction","Accuracy:0.963, F1 score:0.964, AUC:0.979","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.1931","Shigella sonnei strain 185886","tobramycin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1280,"1280.12269","Staphylococcus aureus strain N13/1/662","methicillin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.995, F1 score:0.995, AUC:0.991","Computational Method",,
624,"624.1958","Shigella sonnei strain 168534","cefpirome","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1313,"1313.38079","Streptococcus pneumoniae strain S684","erythromycin","Resistant",,,,,"Computational Prediction","Accuracy:0.955, F1 score:0.958, AUC:0.978","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40381","Klebsiella pneumoniae strain MRSN591344","cefazolin","Susceptible","==16","==","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
287,"287.16588","Pseudomonas aeruginosa strain ZYPA20 strain not collected","levofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.845, F1 score:0.852, AUC:0.898","AdaBoost Classifier","PATRIC",,,,,,,,
1280,"1280.35690","Staphylococcus aureus strain 67582_2","methicillin","Susceptible",,,,,"Computational Prediction","Accuracy:0.989, F1 score:0.989, AUC:0.994","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2112","Shigella sonnei strain 183660","ceftazidime","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2124","Shigella sonnei strain 168532","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1921","Shigella sonnei strain 183741","cefoxitin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40290","Klebsiella pneumoniae strain IRAN-43","cefepime","Susceptible",,,,,"Computational Prediction","Accuracy:0.697, F1 score:0.704, AUC:0.745","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2063","Shigella sonnei strain 182137","ertapenem","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1942","Shigella sonnei strain 161911","cefoxitin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1994","Shigella sonnei strain 207511","gentamicin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40427","Klebsiella pneumoniae strain MRSN25107","ertapenem","Susceptible",,,,,"Computational Prediction","Accuracy:0.956, F1 score:0.955, AUC:0.972","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2088","Shigella sonnei strain 184493","chloramphenicol","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.23125","Klebsiella pneumoniae strain PN120","cefoxitin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.805, F1 score:0.796, AUC:0.864","Computational Method",,
624,"624.2004","Shigella sonnei strain 187476","chloramphenicol","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40438","Klebsiella pneumoniae strain MRSN15687","tobramycin","Resistant",">=16",">=","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40382","Klebsiella pneumoniae strain MRSN583141","tobramycin","Resistant",">=16",">=","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2105","Shigella sonnei strain 168321","ciprofloxacin","r",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2000","Shigella sonnei strain 175609","gentamicin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40443","Klebsiella pneumoniae strain MRSN7076","amikacin","Susceptible","<=2","<=","2","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40423","Klebsiella pneumoniae strain MRSN25947","ciprofloxacin","Susceptible","<=25","<=","25","mg/L","MIC",,"Vitek",,"missing",,,,,,,
562,"562.52592","Escherichia coli strain G029f","imipenem",,"2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"31642700"
1280,"1280.31229","Staphylococcus aureus strain 27/4-5 BHC","methicillin","Susceptible",,,,,"Computational Prediction","Accuracy:0.989, F1 score:0.989, AUC:0.994","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40450","Klebsiella pneumoniae strain MRSN4815","cefuroxime","Resistant",">=64",">=","64","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2170","Shigella sonnei strain 198256","streptomycin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2153","Shigella sonnei strain 158948","ertapenem","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.27349","Klebsiella pneumoniae strain KZN_INI_KINF_27","aztreonam","Susceptible","==1","==","1","mg/L",,"E-Test","Vitek","Biom�rieux","EUCAST",,,,,,,
573,"573.40403","Klebsiella pneumoniae strain MRSN430414","levofloxacin","Resistant",,,,,"Computational Prediction","Accuracy:0.917, F1 score:0.927, AUC:0.961","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40365","Klebsiella pneumoniae strain MRSN702261","aztreonam","Resistant",,,,,"Computational Prediction","Accuracy:0.680, F1 score:0.752, AUC:0.735","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2178","Shigella sonnei strain 207588","ciprofloxacin","r",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.31238","Klebsiella pneumoniae strain M-4","cefoxitin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.805, F1 score:0.796, AUC:0.864","Computational Method",,
1280,"1280.31255","Staphylococcus aureus strain 27190_155F201","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.984, F1 score:0.984, AUC:0.980","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40440","Klebsiella pneumoniae strain MRSN13761","imipenem","Susceptible",,,,,"Computational Prediction","Accuracy:0.931, F1 score:0.935, AUC:0.950","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40427","Klebsiella pneumoniae strain MRSN25107","nitrofurantoin","Resistant","==128","==","128","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40425","Klebsiella pneumoniae strain MRSN25112","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.863, F1 score:0.863, AUC:0.930","AdaBoost Classifier","PATRIC",,,,,,,,
1280,"1280.35676","Staphylococcus aureus strain 99634_20","ciprofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.977, F1 score:0.980, AUC:0.982","AdaBoost Classifier","PATRIC",,,,,,,,
1280,"1280.35725","Staphylococcus aureus strain NAS_AN_258","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.984, F1 score:0.984, AUC:0.980","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40402","Klebsiella pneumoniae strain MRSN450199","moxifloxacin","Susceptible","<=25","<=","25","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.1962","Shigella sonnei strain 170445","cefotaxime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2181","Shigella sonnei strain 203669","ertapenem","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40454","Klebsiella pneumoniae strain NIHE12-0848","trimethoprim_sulfamethoxazole","Susceptible",,,,,"Computational Prediction","Accuracy:0.861, F1 score:0.865, AUC:0.930","AdaBoost Classifier","PATRIC",,,,,,,,
287,"287.16537","Pseudomonas aeruginosa strain WTJH12","levofloxacin","Resistant",,,,,"Computational Prediction","Accuracy:0.845, F1 score:0.852, AUC:0.898","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.1966","Shigella sonnei strain 161915","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40440","Klebsiella pneumoniae strain MRSN13761","levofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.917, F1 score:0.927, AUC:0.961","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2143","Shigella sonnei strain 163127","tetracycline","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2057","Shigella sonnei strain 174706","tetracycline","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40439","Klebsiella pneumoniae strain MRSN14444","amikacin","Susceptible","<=2","<=","2","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1773,"1773.24178","Mycobacterium tuberculosis strain 11502","capreomycin","Susceptible",,,,,"Computational Prediction","Accuracy:0.850, F1 score:0.841, AUC:0.893","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40379","Klebsiella pneumoniae strain MRSN669448","trimethoprim-sulfamethoxazole","Resistant",">=16/304",">=","16/304","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1313,"1313.38117","Streptococcus pneumoniae strain S299","erythromycin","Resistant",,,,,"Computational Prediction","Accuracy:0.955, F1 score:0.958, AUC:0.978","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40436","Klebsiella pneumoniae strain MRSN16008","ceftazidime","Susceptible","<=1","<=","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2194","Shigella sonnei strain 197091","cefoxitin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2103","Shigella sonnei strain 155684","ertapenem","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2177","Shigella sonnei strain 149197","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40408","Klebsiella pneumoniae strain MRSN374613","tetracycline","Resistant",">=16",">=","16","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40360","Klebsiella pneumoniae strain MRSN742743","piperacillin_tazobactam","Susceptible",,,,,"Computational Prediction","Accuracy:0.766, F1 score:0.759, AUC:0.825","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40384","Klebsiella pneumoniae strain MRSN582610","gentamicin","Susceptible","<=1","<=","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2164","Shigella sonnei strain 183648","ertapenem","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2142","Shigella sonnei strain 159714","ertapenem","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40393","Klebsiella pneumoniae strain MRSN516635","tigecycline","Susceptible","<=5","<=","5","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2045","Shigella sonnei strain 201505","cefoxitin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2081","Shigella sonnei strain 149193","cefoxitin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
590,"590.13409","Salmonella enterica SRR2407740","streptomycin",,"64",,"64","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.40372","Klebsiella pneumoniae strain MRSN680172","tetracycline","Susceptible","==4","==","4","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1313,"1313.38095","Streptococcus pneumoniae strain S523","tetracycline","Susceptible",,,,,"Computational Prediction","Accuracy:0.962, F1 score:0.962, AUC:0.974","AdaBoost Classifier","PATRIC",,,,,,,,
1773,"1773.26128","Mycobacterium tuberculosis strain OMICS/BPL/0046/19/SP","isoniazid","Resistant",,,,,"Computational Prediction","Accuracy:0.869, F1 score:0.864, AUC:0.926","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2092","Shigella sonnei strain 158942","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40368","Klebsiella pneumoniae strain MRSN728987","ampicillin","Resistant",">=32",">=","32","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1313,"1313.38124","Streptococcus pneumoniae strain PP15","trimethoprim_sulfamethoxazole","Susceptible",,,,,"Computational Prediction","Accuracy:0.878, F1 score:0.884, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
1280,"1280.35700","Staphylococcus aureus strain 73078_5","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.984, F1 score:0.984, AUC:0.980","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.31236","Klebsiella pneumoniae strain M-6","meropenem","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.916, F1 score:0.922, AUC:0.949","Computational Method",,
624,"624.2112","Shigella sonnei strain 183660","ampicillin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40380","Klebsiella pneumoniae strain MRSN599975","gentamicin","Resistant",,,,,"Computational Prediction","Accuracy:0.863, F1 score:0.863, AUC:0.930","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40362","Klebsiella pneumoniae strain MRSN736213","tobramycin","Susceptible","<=1","<=","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
182785,"182785.34","Mycobacterium tuberculosis subsp. tuberculosis strain A4","amikacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.907, F1 score:0.901, AUC:0.926","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2194","Shigella sonnei strain 197091","azithromycin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2042","Shigella sonnei strain 158947","cefpirome","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2054","Shigella sonnei strain 187553","streptomycin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1280,"1280.31234","Staphylococcus aureus strain 21/11-F1 LY","tetracycline","Susceptible",,,,,"Computational Prediction","Accuracy:0.975, F1 score:0.974, AUC:0.986","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.477","Shigella sonnei strain 20031275_1361395","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"22863732;29177089"
624,"624.1989","Shigella sonnei strain 183738","ciprofloxacin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40425","Klebsiella pneumoniae strain MRSN25112","ceftolozane-tazobactam","Susceptible","<=25/4","<=","25/4","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.20053","Klebsiella pneumoniae strain C14_15_09Ph","trimethoprim/sulfamethoxazole","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.861, F1 score:0.865, AUC:0.930","Computational Method",,
573,"573.40429","Klebsiella pneumoniae strain MRSN21304","ceftriaxone","Susceptible","<=25","<=","25","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40409","Klebsiella pneumoniae strain MRSN380979","trimethoprim-sulfamethoxazole","Susceptible","<=1/19","<=","1/19","mg/L","MIC",,"Vitek",,"missing",,,,,,,
1313,"1313.38110","Streptococcus pneumoniae strain S356","chloramphenicol","Susceptible",,,,,"Computational Prediction","Accuracy:0.938, F1 score:0.943, AUC:0.974","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2008","Shigella sonnei strain 208954","ampicillin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40390","Klebsiella pneumoniae strain MRSN560539","aztreonam","Susceptible",,,,,"Computational Prediction","Accuracy:0.680, F1 score:0.752, AUC:0.735","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.1896","Shigella sonnei strain 184402","cefpirome","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1994","Shigella sonnei strain 207511","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
562,"562.52595","Escherichia coli strain D038f","nitrofurantoin",,">128",">","128","mg/L","MIC",,,,,,,,,"Laboratory Method",,"31642700"
624,"624.2177","Shigella sonnei strain 149197","amikacin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2165","Shigella sonnei strain 168323","cefotaxime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40377","Klebsiella pneumoniae strain MRSN607210","cefotaxime","Resistant",">=64",">=","64","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2046","Shigella sonnei strain 195615","cefotaxime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40408","Klebsiella pneumoniae strain MRSN374613","ceftriaxone","Resistant","==32","==","32","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.1937","Shigella sonnei strain 178951","cefotaxime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40422","Klebsiella pneumoniae strain MRSN27106","piperacillin_tazobactam","Susceptible",,,,,"Computational Prediction","Accuracy:0.766, F1 score:0.759, AUC:0.825","AdaBoost Classifier","PATRIC",,,,,,,,
1765,"1765.420","Mycobacterium tuberculosis variant bovis strain Mb_wild_L2","isoniazid","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
624,"624.1975","Shigella sonnei strain 182823","ceftazidime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40447","Klebsiella pneumoniae strain MRSN5741","aztreonam","Resistant","==4","==","4","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.2098","Shigella sonnei strain 176409","trimethoprim","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1896","Shigella sonnei strain 184402","temocillin","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1280,"1280.25744","Staphylococcus aureus strain 33-029","gentamicin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.984, F1 score:0.984, AUC:0.980","Computational Method",,
1280,"1280.35698","Staphylococcus aureus strain 71532_cf12","gentamicin","Susceptible",,,,,"Computational Prediction","Accuracy:0.984, F1 score:0.984, AUC:0.980","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.40362","Klebsiella pneumoniae strain MRSN736213","ampicillin","Resistant",">=32",">=","32","mg/L","MIC",,"Vitek",,"missing",,,,,,,
624,"624.1918","Shigella sonnei strain 197093","cefpirome","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
