,Genome Name,species,antibiotic,resistance
29,Shigella sonnei strain 161046,Shigella sonnei,ampicillin,Susceptible
30,Shigella sonnei strain 158934,Shigella sonnei,azithromycin,Susceptible
31,Klebsiella pneumoniae strain MRSN515432,Klebsiella pneumoniae,ciprofloxacin,Resistant
32,Klebsiella pneumoniae strain MRSN546733,Klebsiella pneumoniae,gentamicin,Resistant
33,Klebsiella pneumoniae strain MRSN28880,Klebsiella pneumoniae,nalidixic acid,Susceptible
34,Klebsiella pneumoniae strain MRSN27989,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
35,Klebsiella pneumoniae strain MRSN27778,Klebsiella pneumoniae,ampicillin-sulbactam,Resistant
37,Shigella sonnei strain 185474,Shigella sonnei,trimethoprim,Resistant
38,Shigella sonnei strain 189257,Shigella sonnei,ertapenem,Resistant
39,Klebsiella pneumoniae strain MRSN731029,Klebsiella pneumoniae,aztreonam,Resistant
40,Klebsiella pneumoniae strain PN81,Klebsiella pneumoniae,tetracycline,Resistant
41,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,tigecycline,Susceptible
42,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,cefoxitin,Susceptible
43,Klebsiella pneumoniae strain MRSN366562,Klebsiella pneumoniae,meropenem,Resistant
44,Staphylococcus aureus strain 27/4-5 BHC,Staphylococcus aureus,penicillin,Resistant
45,Shigella sonnei strain 185886,Shigella sonnei,tobramycin,Resistant
46,Staphylococcus aureus strain N13/1/662,Staphylococcus aureus,methicillin,Resistant
47,Shigella sonnei strain 168534,Shigella sonnei,cefpirome,Resistant
48,Streptococcus pneumoniae strain S684,Streptococcus pneumoniae,erythromycin,Resistant
49,Klebsiella pneumoniae strain MRSN591344,Klebsiella pneumoniae,cefazolin,Susceptible
50,Pseudomonas aeruginosa strain ZYPA20 strain not collected,Pseudomonas aeruginosa,levofloxacin,Susceptible
51,Staphylococcus aureus strain 67582_2,Staphylococcus aureus,methicillin,Susceptible
52,Shigella sonnei strain 183660,Shigella sonnei,ceftazidime,Resistant
53,Shigella sonnei strain 168532,Shigella sonnei,trimethoprim,Resistant
54,Shigella sonnei strain 183741,Shigella sonnei,cefoxitin,Susceptible
55,Klebsiella pneumoniae strain IRAN-43,Klebsiella pneumoniae,cefepime,Susceptible
56,Shigella sonnei strain 182137,Shigella sonnei,ertapenem,Resistant
57,Shigella sonnei strain 161911,Shigella sonnei,cefoxitin,Resistant
58,Shigella sonnei strain 207511,Shigella sonnei,gentamicin,Resistant
59,Klebsiella pneumoniae strain MRSN25107,Klebsiella pneumoniae,ertapenem,Susceptible
60,Shigella sonnei strain 184493,Shigella sonnei,chloramphenicol,Susceptible
61,Klebsiella pneumoniae strain PN120,Klebsiella pneumoniae,cefoxitin,Susceptible
62,Shigella sonnei strain 187476,Shigella sonnei,chloramphenicol,Susceptible
63,Klebsiella pneumoniae strain MRSN15687,Klebsiella pneumoniae,tobramycin,Resistant
64,Klebsiella pneumoniae strain MRSN583141,Klebsiella pneumoniae,tobramycin,Resistant
66,Shigella sonnei strain 175609,Shigella sonnei,gentamicin,Resistant
67,Klebsiella pneumoniae strain MRSN7076,Klebsiella pneumoniae,amikacin,Susceptible
68,Klebsiella pneumoniae strain MRSN25947,Klebsiella pneumoniae,ciprofloxacin,Susceptible
70,Staphylococcus aureus strain 27/4-5 BHC,Staphylococcus aureus,methicillin,Susceptible
71,Klebsiella pneumoniae strain MRSN4815,Klebsiella pneumoniae,cefuroxime,Resistant
72,Shigella sonnei strain 198256,Shigella sonnei,streptomycin,Resistant
73,Shigella sonnei strain 158948,Shigella sonnei,ertapenem,Susceptible
74,Klebsiella pneumoniae strain KZN_INI_KINF_27,Klebsiella pneumoniae,aztreonam,Susceptible
75,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,levofloxacin,Resistant
76,Klebsiella pneumoniae strain MRSN702261,Klebsiella pneumoniae,aztreonam,Resistant
78,Klebsiella pneumoniae strain M-4,Klebsiella pneumoniae,cefoxitin,Susceptible
79,Staphylococcus aureus strain 27190_155F201,Staphylococcus aureus,gentamicin,Susceptible
80,Klebsiella pneumoniae strain MRSN13761,Klebsiella pneumoniae,imipenem,Susceptible
81,Klebsiella pneumoniae strain MRSN25107,Klebsiella pneumoniae,nitrofurantoin,Resistant
82,Klebsiella pneumoniae strain MRSN25112,Klebsiella pneumoniae,gentamicin,Susceptible
83,Staphylococcus aureus strain 99634_20,Staphylococcus aureus,ciprofloxacin,Susceptible
84,Staphylococcus aureus strain NAS_AN_258,Staphylococcus aureus,gentamicin,Susceptible
85,Klebsiella pneumoniae strain MRSN450199,Klebsiella pneumoniae,moxifloxacin,Susceptible
86,Shigella sonnei strain 170445,Shigella sonnei,cefotaxime,Susceptible
87,Shigella sonnei strain 203669,Shigella sonnei,ertapenem,Resistant
88,Klebsiella pneumoniae strain NIHE12-0848,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
89,Pseudomonas aeruginosa strain WTJH12,Pseudomonas aeruginosa,levofloxacin,Resistant
90,Shigella sonnei strain 161915,Shigella sonnei,trimethoprim,Resistant
91,Klebsiella pneumoniae strain MRSN13761,Klebsiella pneumoniae,levofloxacin,Susceptible
92,Shigella sonnei strain 163127,Shigella sonnei,tetracycline,Susceptible
93,Shigella sonnei strain 174706,Shigella sonnei,tetracycline,Susceptible
94,Klebsiella pneumoniae strain MRSN14444,Klebsiella pneumoniae,amikacin,Susceptible
95,Mycobacterium tuberculosis strain 11502,Mycobacterium tuberculosis,capreomycin,Susceptible
96,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Resistant
97,Streptococcus pneumoniae strain S299,Streptococcus pneumoniae,erythromycin,Resistant
98,Klebsiella pneumoniae strain MRSN16008,Klebsiella pneumoniae,ceftazidime,Susceptible
99,Shigella sonnei strain 197091,Shigella sonnei,cefoxitin,Resistant
100,Shigella sonnei strain 155684,Shigella sonnei,ertapenem,Susceptible
101,Shigella sonnei strain 149197,Shigella sonnei,trimethoprim,Resistant
102,Klebsiella pneumoniae strain MRSN374613,Klebsiella pneumoniae,tetracycline,Resistant
103,Klebsiella pneumoniae strain MRSN742743,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
104,Klebsiella pneumoniae strain MRSN582610,Klebsiella pneumoniae,gentamicin,Susceptible
105,Shigella sonnei strain 183648,Shigella sonnei,ertapenem,Susceptible
106,Shigella sonnei strain 159714,Shigella sonnei,ertapenem,Resistant
107,Klebsiella pneumoniae strain MRSN516635,Klebsiella pneumoniae,tigecycline,Susceptible
108,Shigella sonnei strain 201505,Shigella sonnei,cefoxitin,Susceptible
109,Shigella sonnei strain 149193,Shigella sonnei,cefoxitin,Susceptible
111,Klebsiella pneumoniae strain MRSN680172,Klebsiella pneumoniae,tetracycline,Susceptible
112,Streptococcus pneumoniae strain S523,Streptococcus pneumoniae,tetracycline,Susceptible
113,Mycobacterium tuberculosis strain OMICS/BPL/0046/19/SP,Mycobacterium tuberculosis,isoniazid,Resistant
114,Shigella sonnei strain 158942,Shigella sonnei,trimethoprim,Resistant
115,Klebsiella pneumoniae strain MRSN728987,Klebsiella pneumoniae,ampicillin,Resistant
116,Streptococcus pneumoniae strain PP15,Streptococcus pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
117,Staphylococcus aureus strain 73078_5,Staphylococcus aureus,gentamicin,Susceptible
118,Klebsiella pneumoniae strain M-6,Klebsiella pneumoniae,meropenem,Susceptible
119,Shigella sonnei strain 183660,Shigella sonnei,ampicillin,Resistant
120,Klebsiella pneumoniae strain MRSN599975,Klebsiella pneumoniae,gentamicin,Resistant
121,Klebsiella pneumoniae strain MRSN736213,Klebsiella pneumoniae,tobramycin,Susceptible
122,Mycobacterium tuberculosis subsp. tuberculosis strain A4,Mycobacterium tuberculosis,amikacin,Susceptible
123,Shigella sonnei strain 197091,Shigella sonnei,azithromycin,Resistant
124,Shigella sonnei strain 158947,Shigella sonnei,cefpirome,Susceptible
125,Shigella sonnei strain 187553,Shigella sonnei,streptomycin,Resistant
126,Staphylococcus aureus strain 21/11-F1 LY,Staphylococcus aureus,tetracycline,Susceptible
127,Shigella sonnei strain 20031275_1361395,Shigella sonnei,tetracycline,Resistant
128,Shigella sonnei strain 183738,Shigella sonnei,ciprofloxacin,Susceptible
129,Klebsiella pneumoniae strain MRSN25112,Klebsiella pneumoniae,ceftolozane-tazobactam,Susceptible
130,Klebsiella pneumoniae strain C14_15_09Ph,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
131,Klebsiella pneumoniae strain MRSN21304,Klebsiella pneumoniae,ceftriaxone,Susceptible
132,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Susceptible
133,Streptococcus pneumoniae strain S356,Streptococcus pneumoniae,chloramphenicol,Susceptible
134,Shigella sonnei strain 208954,Shigella sonnei,ampicillin,Resistant
135,Klebsiella pneumoniae strain MRSN560539,Klebsiella pneumoniae,aztreonam,Susceptible
136,Shigella sonnei strain 184402,Shigella sonnei,cefpirome,Resistant
137,Shigella sonnei strain 207511,Shigella sonnei,trimethoprim,Resistant
139,Shigella sonnei strain 149197,Shigella sonnei,amikacin,Susceptible
140,Shigella sonnei strain 168323,Shigella sonnei,cefotaxime,Susceptible
141,Klebsiella pneumoniae strain MRSN607210,Klebsiella pneumoniae,cefotaxime,Resistant
142,Shigella sonnei strain 195615,Shigella sonnei,cefotaxime,Susceptible
143,Klebsiella pneumoniae strain MRSN374613,Klebsiella pneumoniae,ceftriaxone,Resistant
144,Shigella sonnei strain 178951,Shigella sonnei,cefotaxime,Susceptible
145,Klebsiella pneumoniae strain MRSN27106,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
146,Mycobacterium tuberculosis variant bovis strain Mb_wild_L2,Mycobacterium tuberculosis,isoniazid,Susceptible
147,Shigella sonnei strain 182823,Shigella sonnei,ceftazidime,Susceptible
148,Klebsiella pneumoniae strain MRSN5741,Klebsiella pneumoniae,aztreonam,Resistant
149,Shigella sonnei strain 176409,Shigella sonnei,trimethoprim,Resistant
150,Shigella sonnei strain 184402,Shigella sonnei,temocillin,Resistant
151,Staphylococcus aureus strain 33-029,Staphylococcus aureus,gentamicin,Susceptible
152,Staphylococcus aureus strain 71532_cf12,Staphylococcus aureus,gentamicin,Susceptible
153,Klebsiella pneumoniae strain MRSN736213,Klebsiella pneumoniae,ampicillin,Resistant
154,Shigella sonnei strain 197093,Shigella sonnei,cefpirome,Susceptible
155,Klebsiella pneumoniae strain GDFK0139,Klebsiella pneumoniae,aztreonam,Susceptible
156,Staphylococcus aureus strain 32200324,Staphylococcus aureus,methicillin,Susceptible
157,Klebsiella pneumoniae strain MRSN16008,Klebsiella pneumoniae,cephalothin,Susceptible
158,Klebsiella pneumoniae strain KZN_INI_KINF_27,Klebsiella pneumoniae,amikacin,Susceptible
159,Klebsiella pneumoniae strain Q1445,Klebsiella pneumoniae,ertapenem,Susceptible
160,Klebsiella pneumoniae strain MRSN607210,Klebsiella pneumoniae,cefpodoxime,Resistant
161,Klebsiella pneumoniae strain MRSN28880,Klebsiella pneumoniae,tetracycline,Susceptible
163,Klebsiella pneumoniae strain KZN_INI_KINF_24,Klebsiella pneumoniae,netilmicin,Susceptible
164,Shigella sonnei strain 198256,Shigella sonnei,nalidixic acid,Susceptible
165,Klebsiella pneumoniae strain MRSN6031,Klebsiella pneumoniae,cefoxitin,Resistant
166,Shigella sonnei strain 181102,Shigella sonnei,sulfonamides,Resistant
167,Pseudomonas aeruginosa strain ZYPA21 strain not collected,Pseudomonas aeruginosa,levofloxacin,Susceptible
168,Shigella sonnei strain 187476,Shigella sonnei,sulfonamides,Susceptible
169,Klebsiella pneumoniae strain KE4439,Klebsiella pneumoniae,tobramycin,Resistant
170,Klebsiella pneumoniae strain K6592,Klebsiella pneumoniae,gentamicin,Resistant
171,Shigella sonnei strain 181984,Shigella sonnei,azithromycin,Susceptible
172,Klebsiella pneumoniae strain P6,Klebsiella pneumoniae,aztreonam,Susceptible
173,Shigella sonnei strain 164668,Shigella sonnei,cefpirome,Resistant
174,Shigella sonnei strain 179820,Shigella sonnei,gentamicin,Resistant
175,Shigella sonnei strain 182824,Shigella sonnei,gentamicin,Resistant
176,Klebsiella pneumoniae strain MRSN499958,Klebsiella pneumoniae,levofloxacin,Susceptible
177,Shigella sonnei strain 152354,Shigella sonnei,ampicillin,Susceptible
178,Klebsiella pneumoniae strain MRSN5881,Klebsiella pneumoniae,ciprofloxacin,Resistant
179,Shigella sonnei strain 195810,Shigella sonnei,ciprofloxacin,Susceptible
180,Shigella sonnei strain 190572,Shigella sonnei,tetracycline,Resistant
181,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,piperacillin-tazobactam,Resistant
182,Shigella sonnei strain 168323,Shigella sonnei,ceftazidime,Susceptible
183,Klebsiella pneumoniae strain 256,Klebsiella pneumoniae,ertapenem,Susceptible
184,Staphylococcus aureus strain GHA/LAMRSA/2016/8,Staphylococcus aureus,erythromycin,Susceptible
186,Shigella sonnei strain 181108,Shigella sonnei,gentamicin,Resistant
187,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,moxifloxacin,Resistant
188,Shigella sonnei strain 199832,Shigella sonnei,ertapenem,Resistant
189,Shigella sonnei strain 152352,Shigella sonnei,cefoxitin,Susceptible
190,Klebsiella pneumoniae strain MRSN4815,Klebsiella pneumoniae,tetracycline,Resistant
191,Shigella sonnei strain 190613,Shigella sonnei,tobramycin,Resistant
192,Klebsiella pneumoniae strain KP18-2138,Klebsiella pneumoniae,meropenem,Resistant
193,Shigella sonnei strain 191891,Shigella sonnei,cefoxitin,Resistant
194,Shigella sonnei strain 169625,Shigella sonnei,cefpirome,Susceptible
195,Shigella sonnei strain 178951,Shigella sonnei,amikacin,Susceptible
196,Staphylococcus aureus strain SA2,Staphylococcus aureus,clindamycin,Resistant
197,Shigella sonnei strain 179822,Shigella sonnei,azithromycin,Susceptible
198,Klebsiella pneumoniae strain P30-66,Klebsiella pneumoniae,imipenem,Susceptible
199,Staphylococcus aureus strain SS1,Staphylococcus aureus,methicillin,Resistant
200,Klebsiella pneumoniae strain MRSN562722,Klebsiella pneumoniae,tetracycline,Susceptible
201,Shigella sonnei strain 149193,Shigella sonnei,ertapenem,Susceptible
202,Shigella sonnei strain 168321,Shigella sonnei,temocillin,Susceptible
203,Klebsiella pneumoniae strain MRSN4111,Klebsiella pneumoniae,cefoxitin,Susceptible
205,Klebsiella pneumoniae strain MRSN13748,Klebsiella pneumoniae,cefoxitin,Susceptible
206,Staphylococcus aureus strain NL1,Staphylococcus aureus,ciprofloxacin,Susceptible
207,Klebsiella pneumoniae strain 290,Klebsiella pneumoniae,imipenem,Susceptible
208,Klebsiella pneumoniae strain KE9593,Klebsiella pneumoniae,cefepime,Resistant
209,Klebsiella pneumoniae strain GF34B,Klebsiella pneumoniae,cefoxitin,Susceptible
210,Shigella sonnei strain 196418,Shigella sonnei,ceftazidime,Susceptible
211,Shigella sonnei strain 189258,Shigella sonnei,tobramycin,Resistant
212,Klebsiella pneumoniae strain MRSN750999,Klebsiella pneumoniae,meropenem,Susceptible
213,Pseudomonas aeruginosa strain SCAID TST-2021 (7/157) strain SCAID TST-2021 (7/157) strain SCAID TST-2021 (7/157),Pseudomonas aeruginosa,meropenem,Susceptible
214,Klebsiella pneumoniae strain MRSN25616,Klebsiella pneumoniae,ciprofloxacin,Susceptible
215,Mycobacterium tuberculosis strain OMICS/BPL/0083/19/SP,Mycobacterium tuberculosis,rifampin,Resistant
216,Klebsiella pneumoniae strain CVUAS 11733,Klebsiella pneumoniae,levofloxacin,Susceptible
217,Staphylococcus aureus strain 27186_155F131,Staphylococcus aureus,ciprofloxacin,Susceptible
218,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,ampicillin-sulbactam,Susceptible
219,Shigella sonnei strain 170366,Shigella sonnei,cefpirome,Resistant
220,Shigella sonnei strain 198256,Shigella sonnei,azithromycin,Susceptible
221,Shigella sonnei strain 193412,Shigella sonnei,tobramycin,Resistant
222,Shigella sonnei strain 193412,Shigella sonnei,cefotaxime,Susceptible
223,Klebsiella pneumoniae strain GDFK0139,Klebsiella pneumoniae,tobramycin,Susceptible
224,Staphylococcus aureus strain SCAID WND1-2021 (598) strain SCAID WND1-2021 (598) strain SCAID WND1-2021 (598),Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
226,Klebsiella pneumoniae strain MRSN564304,Klebsiella pneumoniae,gentamicin,Susceptible
227,Shigella sonnei strain 203677,Shigella sonnei,sulfonamides,Resistant
228,Klebsiella pneumoniae strain MRSN581745,Klebsiella pneumoniae,cephalothin,Resistant
229,Shigella sonnei strain 183738,Shigella sonnei,amikacin,Resistant
230,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,cefpodoxime,Resistant
231,Staphylococcus aureus strain GHA/LAMRSA/2016/13,Staphylococcus aureus,penicillin,Resistant
232,Shigella sonnei strain 193412,Shigella sonnei,ertapenem,Susceptible
233,Klebsiella pneumoniae strain E14_15_17Sa,Klebsiella pneumoniae,imipenem,Susceptible
234,Shigella sonnei strain 197088,Shigella sonnei,trimethoprim,Resistant
235,Klebsiella pneumoniae strain EX412,Klebsiella pneumoniae,cefoxitin,Susceptible
236,Klebsiella pneumoniae strain MRSN516635,Klebsiella pneumoniae,aztreonam,Susceptible
237,Staphylococcus aureus strain 60563-9-3,Staphylococcus aureus,erythromycin,Susceptible
238,Shigella sonnei strain 164682,Shigella sonnei,sulfonamides,Resistant
239,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,aztreonam,Resistant
240,Staphylococcus aureus strain NAS_NP_123,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
241,Shigella sonnei strain 186562,Shigella sonnei,sulfonamides,Resistant
242,Klebsiella pneumoniae strain MRSN607210,Klebsiella pneumoniae,ceftriaxone,Resistant
243,Klebsiella pneumoniae strain MRSN450199,Klebsiella pneumoniae,tobramycin,Susceptible
244,Shigella sonnei strain 186596,Shigella sonnei,cefoxitin,Susceptible
245,Shigella sonnei strain 158934,Shigella sonnei,cefotaxime,Resistant
246,Klebsiella pneumoniae strain MRSN28893,Klebsiella pneumoniae,amikacin,Susceptible
247,Shigella sonnei strain 187553,Shigella sonnei,temocillin,Susceptible
248,Klebsiella pneumoniae strain E09_10_13Ph,Klebsiella pneumoniae,imipenem,Susceptible
249,Klebsiella pneumoniae strain MRSN728987,Klebsiella pneumoniae,tetracycline,Resistant
250,Shigella sonnei strain 191890,Shigella sonnei,trimethoprim,Resistant
251,Klebsiella pneumoniae strain MRSN374613,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
252,Shigella sonnei strain 180542,Shigella sonnei,cefoxitin,Susceptible
253,Shigella sonnei strain 183660,Shigella sonnei,sulfonamides,Resistant
254,Shigella sonnei strain 187598,Shigella sonnei,cefoxitin,Susceptible
255,Shigella sonnei strain 201532,Shigella sonnei,cefotaxime,Susceptible
256,Klebsiella pneumoniae strain MRSN517281,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
257,Klebsiella pneumoniae strain K6453,Klebsiella pneumoniae,amikacin,Susceptible
258,Shigella sonnei strain 164677,Shigella sonnei,streptomycin,Resistant
259,Klebsiella pneumoniae strain MRSN499958,Klebsiella pneumoniae,cephalothin,Resistant
260,Shigella sonnei strain 149199,Shigella sonnei,gentamicin,Resistant
261,Shigella sonnei strain 182078,Shigella sonnei,chloramphenicol,Susceptible
262,Shigella sonnei strain 185885,Shigella sonnei,ampicillin,Susceptible
263,Shigella sonnei strain 163136,Shigella sonnei,chloramphenicol,Susceptible
264,Klebsiella pneumoniae subsp. pneumoniae strain NCTC7761,Klebsiella pneumoniae,levofloxacin,Susceptible
265,Shigella sonnei strain 185470,Shigella sonnei,azithromycin,Susceptible
266,Shigella sonnei strain 196999,Shigella sonnei,gentamicin,Resistant
267,Klebsiella pneumoniae strain KP18-41,Klebsiella pneumoniae,cefepime,Resistant
268,Shigella sonnei strain 158948,Shigella sonnei,gentamicin,Resistant
269,Shigella sonnei strain 183738,Shigella sonnei,ampicillin,Susceptible
270,Klebsiella pneumoniae strain Y11,Klebsiella pneumoniae,amikacin,Susceptible
271,Klebsiella pneumoniae strain KZN_INI_KINF_24,Klebsiella pneumoniae,tobramycin,Susceptible
272,Klebsiella pneumoniae strain MRSN15882,Klebsiella pneumoniae,nalidixic acid,Susceptible
273,Klebsiella pneumoniae strain MRSN13726,Klebsiella pneumoniae,cefepime,Susceptible
274,Klebsiella pneumoniae strain Q1459,Klebsiella pneumoniae,imipenem,Susceptible
275,Shigella sonnei strain 172388,Shigella sonnei,temocillin,Susceptible
276,Shigella sonnei strain 149193,Shigella sonnei,temocillin,Susceptible
277,Klebsiella pneumoniae strain MRSN6031,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
278,Klebsiella pneumoniae strain WHC57,Klebsiella pneumoniae,aztreonam,Resistant
279,Klebsiella pneumoniae strain 14-1026 strain not applicable,Klebsiella pneumoniae,tobramycin,Susceptible
280,Staphylococcus aureus strain AR39_O1_merpol,Staphylococcus aureus,tetracycline,Susceptible
281,Staphylococcus aureus strain 78528_1,Staphylococcus aureus,methicillin,Susceptible
282,Shigella sonnei strain 186562,Shigella sonnei,cefoxitin,Susceptible
283,Klebsiella pneumoniae strain 11-0910 strain not applicable,Klebsiella pneumoniae,meropenem,Susceptible
284,Pseudomonas aeruginosa strain ZYPA36 strain not collected,Pseudomonas aeruginosa,levofloxacin,Resistant
285,Shigella sonnei strain 174675,Shigella sonnei,ertapenem,Susceptible
286,Klebsiella pneumoniae strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97),Klebsiella pneumoniae,cefazolin,Susceptible
287,Klebsiella pneumoniae strain KE4439,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
288,Klebsiella pneumoniae strain MRSN414780,Klebsiella pneumoniae,ceftazidime-avibactam,Susceptible
289,Shigella sonnei strain 20021122_1361394,Shigella sonnei,chloramphenicol,Susceptible
290,Klebsiella pneumoniae strain BK-168,Klebsiella pneumoniae,meropenem,Susceptible
291,Klebsiella pneumoniae strain E14_15_53Ma,Klebsiella pneumoniae,ciprofloxacin,Susceptible
292,Klebsiella pneumoniae strain Q0898,Klebsiella pneumoniae,ciprofloxacin,Susceptible
293,Klebsiella pneumoniae strain MRSN702325,Klebsiella pneumoniae,cefotaxime,Susceptible
294,Klebsiella pneumoniae strain MRSN22265,Klebsiella pneumoniae,amikacin,Susceptible
295,Klebsiella pneumoniae strain Q0898,Klebsiella pneumoniae,cefepime,Resistant
296,Shigella sonnei strain 158938,Shigella sonnei,tetracycline,Resistant
297,Shigella sonnei strain 171144,Shigella sonnei,trimethoprim,Resistant
298,Klebsiella pneumoniae strain MRSN18411,Klebsiella pneumoniae,levofloxacin,Susceptible
299,Klebsiella pneumoniae strain 260,Klebsiella pneumoniae,ertapenem,Susceptible
300,Klebsiella pneumoniae strain MRSN479404,Klebsiella pneumoniae,meropenem,Resistant
301,Klebsiella pneumoniae strain 11-2499 strain not applicable,Klebsiella pneumoniae,meropenem,Susceptible
302,Shigella sonnei strain 150955,Shigella sonnei,cefotaxime,Susceptible
303,Staphylococcus aureus strain SP135,Staphylococcus aureus,ciprofloxacin,Susceptible
304,Shigella sonnei strain 171140,Shigella sonnei,ertapenem,Resistant
305,Staphylococcus aureus strain 71532_cf13,Staphylococcus aureus,methicillin,Susceptible
306,Shigella sonnei strain 203679,Shigella sonnei,cefpirome,Resistant
307,Klebsiella pneumoniae strain MRSN27106,Klebsiella pneumoniae,ertapenem,Susceptible
308,Klebsiella pneumoniae strain MRSN761403,Klebsiella pneumoniae,ceftolozane-tazobactam,Resistant
309,Shigella sonnei strain 191942,Shigella sonnei,ertapenem,Resistant
310,Klebsiella pneumoniae strain MRSN366562,Klebsiella pneumoniae,cephalothin,Resistant
311,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,cefoxitin,Susceptible
313,Klebsiella pneumoniae strain MRSN5881,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
314,Klebsiella pneumoniae strain MRSN15687,Klebsiella pneumoniae,ampicillin-sulbactam,Resistant
315,Klebsiella pneumoniae strain PAC4_180130,Klebsiella pneumoniae,aztreonam,Susceptible
316,Shigella sonnei strain 158945,Shigella sonnei,cefoxitin,Resistant
317,Klebsiella pneumoniae strain MRSN479404,Klebsiella pneumoniae,tetracycline,Resistant
318,Shigella sonnei strain 161046,Shigella sonnei,gentamicin,Resistant
319,Shigella sonnei strain 207585,Shigella sonnei,ceftazidime,Resistant
320,Staphylococcus aureus strain 21/11-2 LC,Staphylococcus aureus,erythromycin,Susceptible
321,Klebsiella pneumoniae strain P30-65,Klebsiella pneumoniae,tobramycin,Resistant
322,Klebsiella pneumoniae strain TA6363,Klebsiella pneumoniae,tetracycline,Resistant
323,Klebsiella pneumoniae strain MRSN365679,Klebsiella pneumoniae,tigecycline,Susceptible
324,Klebsiella pneumoniae strain MRSN515432,Klebsiella pneumoniae,nitrofurantoin,Resistant
325,Klebsiella pneumoniae strain GF24B,Klebsiella pneumoniae,imipenem,Susceptible
